INFO: setting up PCIe 0
INFO: loading mbench.bin...
INFO: done
672	6280	616454	232360	1645274	375432	2712229	518190	874482	50688
579	3569	350462	132053	952667	218487	1749874	348411	631823	50595
409	1306	128395	48322	362795	85076	973177	191540	493570	50425
334	809	79614	29933	228937	54797	800044	150911	475596	50350
231	417	41120	15429	120660	29775	654024	111675	467297	50247
148	201	19844	7437	59798	15305	567803	85751	465688	50164
66	85	8394	3145	26425	6561	516909	65691	471541	50082
38	43	4250	1591	13996	3439	497929	58705	473011	50054
23	23	2276	851	7814	1909	487967	55105	473515	50039
4	4	395	148	1390	332	477408	50906	474812	50020
9	10	987	370	3319	804	480305	52068	474315	50025
6	6	593	222	2039	498	478382	51348	474572	50022
1	1	98	37	346	83	475649	50243	474957	50017
